"","o1","o2","o3","o4","o5","indicator","condition"
"1","referendum","","","","","referendum ",""
"2","associatieverdrag","","","","","associatieverdrag associatieovereenkomst samenwerkingsverband",""
"3","issues","","","","","",""
"4","","handel","","","","handels* handel ",""
"5","","","vrijhandel","","","vrijhandel vrijhandels*",""
"6","","","integratie","","","*integr*",""
"7","","","markteconomie","","","markteconom*",""
"8","","lidmaatschapEU","","","","lidmaatschap* toetred*",""
"9","","democratieOek","","","","democrati*",""
"10","","vrede","","","","vrede*",""
"11","","stabiliteit","","","","stabiel* stabiliteit",""
"12","","justitie","","","","justiti* rechtsstaat",""
"13","","veiligheid","","","","veilig* veiligheid* mensenrechten",""
"14","","","mensenrechten","","","mensenrecht*",""
"15","","vrijheid","","","","vrijheid* vrijhe* ",""
"16","","werk","","","","",""
"17","","","werkloosheid","","","werklo*",""
"18","","","werkgelegenheid","","","werkgelegenheid",""
"19","","belastinggeld","","","","belasting* bedrijfswinst* bedrijfsresult* bedrijfsrendement* winstcijfer* nettoresulta* overheidsfin* begrotingstekort* overheidsuitg* inflatie deflatie",""
"20","standpunten","","","","","standpunt* mening  bewering convictie denkbeeld* gedachte* gevoelen* gezichtspunt gezindheid houding ingesteldheid instelling inzicht mening* oogpunt oordeel opinie opstelling optie opvatting overtuiging perspectief platform positie stelling stellingname uitgangspunt visie zienswijze",""
"21","","oekraine","","","","",""
"22","","","vooroekra","","","democratie ""steun tegen Poetins Rusland"" handel*","(associatieovereenkomst associatieverdrag oekra*) NOT handelsblad"
"23","","","tegenoekra","","","""ons belastinggeld"" ""steun tegen EU"" lidmaatschap EU ""werknemers uit oekra*""","associatieovereenkomst associatieverdrag  oekra*"
"24","","europa??","","","","",""
"25","","","vooreuropa","","","immigranten AND baan ""bankenfaillisement tegengaan"" vrijhandel  ""uitbreiding eu leden""",""
"26","","","tegeneuropa","","","""minder geld"" buitenlandbeleid ""buitenlandbeleid tegen rusland"" ""uit euro*""",""
"27","actoren","","","","","",""
"28","","EU1","","","","EU ecb tusk barrosso juncker rompuy draghi ashton",""
"29","","","EU2","","","unie",""
"30","","Nederland","","","","nederland* rutte","* NOT (sport kampioen wedstrijd EK WK)"
"31","","","regering","","","regering* overheid premier nederland* rutte kabinet ministerraad president minister bewind* minister* onderminister premier staatshoofd parlement* volksvertegenw*",""
"32","","","partij","","","",""
"33","","","","regeringspartij","","",""
"34","","","","","pvda","pvda samsom leider partij arbeid",""
"35","","","","","vvd","vvd rutte premier volkspartij democratie",""
"36","","","","gedoogpartij","","",""
"37","","","","","d66","d66 pechtold democraten66",""
"38","","","","","christenunie","cu christenunie slob staaij",""
"39","","","","","sgp","sgp staatkundig gereformeerd staaij",""
"40","","","","oppositiepartij","","",""
"41","","","","","cda","cda sybrand haersma buma schreier",""
"42","","","","","pvv","pvv wilders extreem* rechts madlener",""
"43","","","","","sp","sp socialistisch roemer",""
"44","","","","","groenlinks","groenlinks groen links bram ojik eickhout sargentini",""
"45","","","","","vijftigplus","vijftigplus krol",""
"46","","","","","pvdd","thieme ouwehand hazekamp",""
"47","","jakamp","","","","voorstander* voor-campagne voorkamp jakamp ja-kamp ja-campagne",""
"48","","","particulieren","","","",""
"49","","","","soros","","soros miljardair schenk* geschonken",""
"50","","","","stemvoornederland","","stem Nederland conservatie* activist livestro hulten ",""
"51","","","","Retecool","","retecool",""
"52","","","rechtspersoon","","","",""
"53","","","","verhoeven","","verhoeven D66 democraten66",""
"54","","","","Rompuy","","rompuy oud-voorzitter voorzitter",""
"55","","","","Dijsselbloem","","dijsselbloem financien minister voorzitter Eurogroep",""
"56","","","","Juncker","","jean-claude Juncker voorzitter commissie",""
"57","","neekamp","","","","tegenstander tegencampagne tegenkamp tegen-kamp nee-kamp nee-campagne",""
"58","","","particulieren","","","",""
"59","","","","forumvoordemocratie","","forum democratie thierry baudet ",""
"60","","","","burgercomiteEU","","burgercomite houwelingen",""
"61","","","","geenpeil","","geenpeil geenstijl geenstijl-blogger nijman baudet",""
"62","","","","protestburgers","","protestburger",""
"63","","","rechtspersoon","","","",""
"64","","","bommel","","","bommel SP socialistisch*",""
"65","","","Plasterk","","","plasterk minister binnenlandse",""
"66","","","UKIP","","","eurokritisch euro-kritisch nigel farage ukip ukip-leider",""
"67","","neutraal","","","","neutra* campagne",""
"68","","","valdicecina","","","cecina houwen stemwijzerreferendum",""
"69","","Rusland","","","","rusland sovjet poetin medvelev moskou gazprom russisch*",""
"70","","Eulanden","","","","eulanden eu-landen belgie bulgarije cypris denemarken duitsland estland finland frankrijk griekenland hongarije ierland italië  kroatie letland litouwen luxemburg malta nederland oostenrijk polen portugal roemenië  slovenie slowakije spanje tsjechie verenigd koninkrijk zweden",""
"71","","","extreemrechts ","","","",""
"72","","","","frankrijk","","front marine extreemrechts ","frans frankrijk"
"73","","","","duitsland","","pegida extreemrechts hogesa Sarrazin pegida* Bachmann ","duits duitsland"
"74","","Oekraine","","","","oekra* jatsenjoek poroshenko donetz donetsk kiev loehansk loegansk charkov krim odessa dnjepropetrovsk tymosjenko timosjenko janoekovitsj janoekovytsj Jatsenjoe porosjenko","* NOT (sport wereldtitel uitslag dinamo)"
"75","","Turkije","","","","turkije turk* erdogan ","* NOT (lidmaatschap AND eu)"
"76","","Israel","","","","israel netanyahu","* NOT (palestijnen westelijke jordaanoever palestijnse gebieden jodendom israelische nederzettingen westoeverbarriere hams hezbollah gazastrook)"
"77","","VS","","","","obama bush clinton trump cruz sanders ",""
"78","","UK","","","","cameron johnson gove","* NOT brexit"
"79","predicaat","","","","","",""
"80","","positief","","","","aangena*aantrekkelijk*aanzien*aardig*actief*adequa*allerbest*applaus*barmhartig*befaamd*begrijpelijk*begripvol*behulpzaam*bekwa*belastingvoordeel*beschaafd*bescheidenheid*best*beter*betrokken*betrouwba*betrouwbaarheid*bevlogen*bijzonder*blij*blijde*boeiend*briljant*charmant*collegia*comfortabel*competent*conscientieu*consensus*constructie*cool*correct*coulance*creatie*daadkrachtig*dankba*dapper*deskundig*deugdelijk*dierba*diplomatiek*doelmatig*doeltreffend*dolblij*eensgezind*eensgezindheid*eenvoudig*eerlijk*effectie*efficiency*efficiencywinst*efficient*eminent*enthousiasme*enthousiast*ervaren*esthetisch*evenwichtig*excellent*excelleren*fair*fantastisch*fatsoenlijk*favoriet*feestelijk*felbegeerd*fenomenaal*fijn*filantropisch*florissant*foutlo*fraai*fris*geacht*gedreven*geduldig*geliefd*gelijkheidsdenken*gelijkwaardig*geloofwaardig*gelukkig*gemakkelijk*gemoedelijk*gemotiveerd*genia*gerechtvaardigd*gerenommeerd*gerust*geschikt*getalenteerd*geweldig*gezaghebbend*gezellig*gezond*glansrijk*goed*goedwillend*goeie*goodwill*gul*gunstig*haalba*handig*hardwerkend*hartelijk*hemels*herkenba*hoffelijk*hoogbegaafd*hooggekwalificeerd*hooggewaardeerd*hoogwaardig*hoop*hoopvol*huma*idea*ijverig*indrukwekkend*ingenieu*innovatie*inspireren*intelligent*interessant*juist*kansrijk*keurig*knap*kunde*kwalitatief*kwaliteit*kwaliteitsverbetering*leergierig*leergierigheid*leerontwikkeling*lef*lekker*leuk*lief*lieve*liefste*liefde*liefdevol*lof*lofzang*lol*loya*lucratief*majestueu*makkelijk*meerwaarde*meevaller*moedig*moeiteloos*mooi*moreelmorele*nauwkeurig*netjes*nobel*nuttig*objectie*onpartijdig*ontplooiing*ontspannen*ontwikkeld*onverschrokken*opgelucht*opgewekt*optima*optimisme*optimistisch*overtuigend*overzichtelijk*perfect*plezier*plezierig*populair*populariteit*positief*positieve*prachtig*praktisch*prestigieu*prettig*prima*proactie*proba*probleemlo*professionaliteit*professione*profijt*profilering*prominent*proominent*rechtvaardigheid*rekenprestatie*relevant*representatie*respect*respectabel*respectvol*rijk*ruimhartig*rust*schitterend*schoon*schone*sfeervol*slagvaardig*slim*smakelijk*socia*soepel*solidair*solide*sportief*standvastig*|stijlvol*stimulans*strijdbaar*succesvol*sympathiek*talentontwikkeling*talentvol*tevreden*tevredenheid*toegankelijk*toegewijd*toereikend*tof*tolerant*toonbeeld*topfunctie*topinstituut*topleraar*topmens*topmusicus*topniveau*toponderzoek*topopleiding*topper*toppositie*topsector*toptalent*topuniversiteit*topvrouw*trots*trouw*uitblinker*uitstekend*vaardig*veelbelovend*veelzijdig*veilig*verantwoord*verantwoordelijk*verbeter*verbetering*verheugd*verstandig*vertrouw*vindingrijk*vlot*voldoende*vooraanstaand*voordeel*voordelig*voortreffelijk*voortvarend*vooruitgang*vooruitstrevend*vorstelijk*vrede*vreedzaam*vriendelijk*vrolijk*ware*waarachtig*waardering*waardig*waarheid*weldenkend*welgesteld*welkom*weloverwogen*welwillend*welwillendheid*welzijn*wereldfaam*wereldklasse*werkbaar*wijs*wijze*winstgevend*zalig*zelfstandig*zinvol*zorgvuldigheid*zorgza*",""
